Year,Price
"1,952","1,891"
"1,953","1,891"
"1,953","1,891"
"1,953","1,881"
"1,953","1,872"
"1,954","1,863"
"1,954","1,872"
"1,954","1,863"
"1,954","1,853"
"1,955","1,900"
"1,955","1,937"
"1,955","1,937"
"1,955","1,937"
"1,956","1,975"
"1,956","2,003"
"1,956","2,003"
"1,956","2,003"
"1,957","2,021"
"1,957","2,021"
"1,957","2,030"
"1,957","2,030"
"1,958","2,049"
"1,958","2,049"
"1,958","2,058"
"1,958","2,068"
"1,959","2,077"
"1,959","2,105"
"1,959","2,124"
"1,959","2,170"
"1,960","2,189"
"1,960","2,235"
"1,960","2,301"
"1,960","2,328"
"1,961","2,403"
"1,961","2,440"
"1,961","2,468"
"1,961","2,543"
"1,962","2,552"
"1,962","2,599"
"1,962","2,645"
"1,962","2,673"
"1,963","2,748"
"1,963","2,822"
"1,963","2,850"
"1,963","2,943"
"1,964","2,999"
"1,964","3,092"
"1,964","3,139"
"1,964","3,185"
"1,965","3,269"
"1,965","3,344"
"1,965","3,381"
"1,965","3,418"
"1,966","3,465"
"1,966","3,558"
"1,966","3,558"
"1,966","3,586"
"1,967","3,642"
"1,967","3,698"
"1,967","3,763"
"1,967","3,837"
"1,968","3,903"
"1,968","3,996"
"1,968","4,052"
"1,968","4,089"
"1,969","4,145"
"1,969","4,201"
"1,969","4,229"
"1,969","4,312"
"1,970","4,378"
"1,970","4,452"
"1,970","4,508"
"1,970","4,582"
"1,971","4,741"
"1,971","4,908"
"1,971","5,244"
"1,971","5,533"
"1,972","6,008"
"1,972","6,557"
"1,972","7,395"
"1,972","7,880"
"1,973","8,396"
"1,973","8,832"
"1,973","9,183"
"1,973","9,767"
"1,974","9,928"
"1,974","10,027"
"1,974","10,148"
"1,974","10,208"
"1,975","10,388"
"1,975","10,728"
"1,975","10,978"
"1,975","11,288"
"1,976","11,519"
"1,976","11,739"
"1,976","11,999"
"1,976","12,209"
"1,977","12,409"
"1,977","12,689"
"1,977","12,970"
"1,977","13,150"
"1,978","13,820"
"1,978","14,491"
"1,978","15,912"
"1,978","16,823"
"1,979","17,793"
"1,979","19,075"
"1,979","20,485"
"1,979","21,966"
"1,980","22,677"
"1,980","23,348"
"1,980","23,628"
"1,980","23,497"
"1,981","23,730"
"1,981","24,098"
"1,981","24,188"
"1,981","23,798"
"1,982","24,177"
"1,982","24,679"
"1,982","24,969"
"1,982","25,580"
"1,983","26,307"
"1,983","27,386"
"1,983","28,175"
"1,983","28,623"
"1,984","29,675"
"1,984","30,833"
"1,984","31,254"
"1,984","32,543"
"1,985","33,200"
"1,985","34,174"
"1,985","34,700"
"1,985","35,436"
"1,986","35,647"
"1,986","37,015"
"1,986","38,251"
"1,986","39,593"
"1,987","40,882"
"1,987","42,987"
"1,987","44,434"
"1,987","44,355"
"1,988","45,091"
"1,988","48,932"
"1,988","54,352"
"1,988","57,245"
"1,989","59,534"
"1,989","62,244"
"1,989","62,782"
"1,989","61,495"
"1,990","59,587"
"1,990","58,982"
"1,990","57,245"
"1,990","54,919"
"1,991","54,547"
"1,991","55,418"
"1,991","54,903"
"1,991","53,635"
"1,992","52,187"
"1,992","52,663"
"1,992","52,243"
"1,992","50,168"
"1,993","50,128"
"1,993","51,918"
"1,993","51,746"
"1,993","51,050"
"1,994","51,327"
"1,994","51,362"
"1,994","51,731"
"1,994","52,114"
"1,995","51,084"
"1,995","51,633"
"1,995","51,334"
"1,995","50,930"
"1,996","51,367"
"1,996","53,032"
"1,996","54,008"
"1,996","55,169"
"1,997","55,810"
"1,997","58,403"
"1,997","60,754"
"1,997","61,830"
"1,998","62,903"
"1,998","65,221"
"1,998","66,366"
"1,998","66,313"
"1,999","67,478"
"1,999","70,010"
"1,999","72,362"
"1,999","74,638"
"2,000","77,698"
"2,000","81,202"
"2,000","80,935"
"2,000","81,628"
"2,001","83,976"
"2,001","87,638"
"2,001","91,049"
"2,001","92,533"
"2,002","95,356"
"2,002","103,501"
"2,002","110,830"
"2,002","115,940"
"2,003","119,938"
"2,003","125,382"
"2,003","129,761"
"2,003","133,903"
"2,004","140,225"
"2,004","148,462"
"2,004","153,482"
"2,004","152,464"
"2,005","152,790"
"2,005","157,494"
"2,005","157,627"
"2,005","157,387"
"2,006","160,319"
"2,006","165,035"
"2,006","168,460"
"2,006","172,065"
"2,007","175,554"
"2,007","181,810"
"2,007","184,131"
"2,007","183,959"
"2,008","179,363"
"2,008","174,514"
"2,008","165,188"
"2,008","156,828"
"2,009","149,709"
"2,009","154,066"
"2,009","160,159"
"2,009","162,116"
"2,010","162,887"
"2,010","168,719"
"2,010","167,354"
"2,010","162,971"
"2,011","162,379"
"2,011","166,764"
"2,011","166,597"
"2,011","164,785"
"2,012","162,722"
"2,012","164,955"
"2,012","163,910"
"2,012","162,924"
"2,013","163,056"
"2,013","167,294"
"2,013","170,918"
"2,013","174,444"
"2,014","178,124"
"2,014","186,544"
"2,014","188,810"
"2,014","189,002"
"2,015","188,566"
"2,015","194,258"
"2,015","195,733"
"2,015","197,044"
"2,016","198,564"
"2,016","204,238"
"2,016","206,346"
"2,016","205,937"
"2,017","206,665"
"2,017","209,971"
"2,017","211,672"
"2,017","211,433"
"2,018","211,792"
"2,018","214,578"
"2,018","216,103"
"2,018","214,178"
"2,019","212,694"
"2,019","215,910"
"2,019","216,805"
"2,019","215,925"
"2,020","217,911"
"2,020","220,133"
"2,020","224,337"